People - toopicc
Work and business
Travel
Politics and society
Homes and buildings
The natural world
Food and drink
Sport

People - toopicc
Education - topicc


further education    								<--->  noun+B2    
gap year    								<--->  noun+B2    
GCSE    								<--->  noun+C1    
GED    								<--->  noun+C2    
gender studies    								<--->  noun+B2    
geography    								<--->  noun+A1    
geology    								<--->  noun+B2    
geometry    								<--->  noun+C2    
GMAT    								<--->  abbreviation+C2    
gown    								<--->  noun+C1    
grad    								<--->  noun+B1    
grade    								<--->  noun+B1    
grade    								<--->  verb+B2    
grade point average    								<--->  noun+C2    
grade school    								<--->  noun+B2    
grad school    								<--->  noun+B2    
graduate    								<--->  noun+B1    
graduate    								<--->  verb+B1    
graduate school    								<--->  noun+B2    
graduation    								<--->  noun+B1    
grammar school    								<--->  noun+C1    
grant    								<--->  noun+B2    
grant-maintained    								<--->  adjective+C2    
guidance counselor    								<--->  noun+C2    
gym    								<--->  noun+A1    
gymnasium    								<--->  noun+C1    
gymnastics    								<--->  noun+B1    
gymslip    								<--->  noun+C2    
half-term    								<--->  noun+C1    
hall    								<--->  noun+B1    
hall of residence    								<--->  noun+B2    
head    								<--->  noun+B2    
head boy    								<--->  noun+C2    
head girl    								<--->  noun+C2    
headmaster    								<--->  noun+C1    
headmistress    								<--->  noun+C2    
headship    								<--->  noun+C2    
higher education    								<--->  noun+B1    
high school    								<--->  noun+A1    
history    								<--->  noun+A1    
holiday    								<--->  noun+A2    
home economics    								<--->  noun+C2    
homework    								<--->  noun+A1    
honor    								<--->  noun+C2    
honour    								<--->  noun+C2    
Hons    								<--->  abbreviation+C2    
house    								<--->  noun+C2    
housemaster    								<--->  noun+C2    
human geography    								<--->  noun+C1    
humanity    								<--->  noun+C1    
ICT    								<--->  noun+B2    
IGCSE    								<--->  noun+C1    
independent school    								<--->  noun+C1    
infant school    								<--->  noun+C1    
infirmary    								<--->  noun+C2    
information technology    								<--->  noun+B1    
inspector    								<--->  noun+C1    
institution    								<--->  noun+B2    
instructor    								<--->  noun+A2    
intake    								<--->  noun+C1    
interactive whiteboard    								<--->  noun+C1    
interdisciplinarity    								<--->  noun+C2    
interdisciplinary    								<--->  adjective+C2    
invigilate    								<--->  verb+C2    
invigilation    								<--->  noun+C2    
invigilator    								<--->  noun+C2    
Ivy League    								<--->  adjective+C2    
janitor    								<--->  noun+C2    
J.D.    								<--->  noun+C2    
junior    								<--->  adjective+C1    
junior    								<--->  noun+C1    
junior high school    								<--->  noun+B2    
junior school    								<--->  noun+B2    
K-12    								<--->  adjective+C2    
kindergarten    								<--->  noun+B2    
knowledge    								<--->  noun+A2    
laboratory    								<--->  noun+B1    
language laboratory    								<--->  noun+C2    
law    								<--->  noun+B1    
learn    								<--->  verb+A1    
learner    								<--->  noun+A1    
learning    								<--->  noun+A2    
learning difficulty    								<--->  noun+B2    
learning disability    								<--->  noun+C1    
lector    								<--->  noun+C2    
lecture    								<--->  noun+A2    
lecture    								<--->  verb+A2    
lecture hall    								<--->  noun+B2    
lecturer    								<--->  noun+B1    
lectureship    								<--->  noun+C2    
lecture theatre    								<--->  noun+B2    
lesson    								<--->  noun+A1    
liberal arts    								<--->  noun+C2    
library    								<--->  noun+A1    
linguistics    								<--->  noun+C2    
literacy    								<--->  noun+C1    
literate    								<--->  adjective+C1    
loan    								<--->  noun+B2    
locker    								<--->  noun+B2    
locker room    								<--->  noun+C2    
lollipop lady    								<--->  noun+C2    
lollipop man    								<--->  noun+C2    
lower school    								<--->  noun+C1    
magna cum laude    								<--->   <--> adverb+C2    
magnet school    								<--->  noun+C2    
major    								<--->  noun+C1    
major in    								<--->  phrasal verb+C1
Makaton™    								<--->  noun+C2    
make-up    								<--->  noun+C2    
mark    								<--->  verb+B1    
mark    								<--->  noun+B1    
mark down    								<--->  phrasal verb+C2
marker    								<--->  noun+B2    
master    								<--->  noun+B2    
mathematics    								<--->  noun+A2    
matric exemption    								<--->  noun+C2    
matriculate    								<--->  verb+C2    
matriculation    								<--->  noun+C2    
matron    								<--->  noun+C2    
mature student    								<--->  noun+C1    
media studies    								<--->  noun+B2    
medical school    								<--->  noun+B1    
med school    								<--->  noun+C1    
memorize    								<--->  verb+B1    
merit    								<--->  noun+C2    
mess around    								<--->  phrasal verb+C1
middle school    								<--->  noun+C1    
minor    								<--->  noun+C1    
minus    								<--->  adjective+C2    
mistress    								<--->  noun+C2    
mixed    								<--->  adjective+B2    
mock    								<--->  adjective+C2    
mock    								<--->  noun+C2    
moderate    								<--->  verb+C2    
moderator    								<--->  noun+C2    
modular    								<--->  adjective+C2    
module    								<--->  noun+B2    
monitor    								<--->  noun+C2    
mortar board    								<--->  noun+C2    
MSc    								<--->  noun+C2    
multidisciplinary    								<--->  adjective+C2    
multiple-choice    								<--->  adjective+B2    
music    								<--->  noun+A1    
night school    								<--->  noun+B1    
non-attendance    								<--->  noun+C2    
